Enter the number of equaions
Enter the coefficient matrix
Enter the constant vector
Enter the initial guess
Iteration 		 x(k) 			 e(k) 		 ||e(k)||
    1    	 0.750   1.750  -1.000   0.750   1.750  -1.000  2.15058
    2    	 0.938   1.979  -1.006   0.188   0.229  -0.006  0.296157
    3    	 0.993   1.999  -1.001   0.056   0.020   0.005  0.0593691
    4    	 0.999   2.000  -1.000   0.006   0.001   0.001  0.00634723
    5    	 1.000   2.000  -1.000   0.000   0.000   0.000  0.000484419
    6    	 1.000   2.000  -1.000   0.000  -0.000   0.000  2.61871e-05
    7    	 1.000   2.000  -1.000   0.000  -0.000   0.000  7.31881e-07
    8    	 1.000   2.000  -1.000  -0.000  -0.000  -0.000  9.89203e-08
    9    	 1.000   2.000  -1.000  -0.000  -0.000  -0.000  1.47812e-08
   10    	 1.000   2.000  -1.000  -0.000  -0.000  -0.000  1.38095e-09
